dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.1705718040466309
i01_01_2.bmp,I01.BMP,94.43243,1.2107863426208496
i01_01_3.bmp,I01.BMP,95.05556,1.2370779514312744
i01_01_4.bmp,I01.BMP,95.62162000000001,1.2691411972045898
i01_01_5.bmp,I01.BMP,96.13514,1.2924433946609497
i01_02_1.bmp,I01.BMP,93.97143,1.1711583137512207
i01_02_2.bmp,I01.BMP,93.89189,1.1929408311843872
i01_02_3.bmp,I01.BMP,94.61111,1.210554599761963
i01_02_4.bmp,I01.BMP,95.28571,1.2345978021621704
i01_02_5.bmp,I01.BMP,95.63889,1.2589908838272095
i01_03_1.bmp,I01.BMP,95.22857,1.2454355955123901
i01_03_2.bmp,I01.BMP,95.72973,1.2607697248458862
i01_03_3.bmp,I01.BMP,96.2973,1.2821952104568481
i01_03_4.bmp,I01.BMP,96.80556,1.3052047491073608
i01_03_5.bmp,I01.BMP,97.28571,1.3256642818450928
i01_04_1.bmp,I01.BMP,94.02857,1.1407403945922852
i01_04_2.bmp,I01.BMP,94.24324,1.1167758703231812
i01_04_3.bmp,I01.BMP,94.72973,1.1337604522705078
i01_04_4.bmp,I01.BMP,94.75676,1.1801331043243408
i01_04_5.bmp,I01.BMP,95.28571,1.2255834341049194
i01_05_1.bmp,I01.BMP,94.08108,1.1758400201797485
i01_05_2.bmp,I01.BMP,94.2973,1.1729400157928467
i01_05_3.bmp,I01.BMP,94.91667,1.2293404340744019
i01_05_4.bmp,I01.BMP,95.86111,1.2695577144622803
i01_05_5.bmp,I01.BMP,96.86111,1.3099454641342163
i01_06_1.bmp,I01.BMP,96.0,1.1413170099258423
i01_06_2.bmp,I01.BMP,96.10811,1.1769193410873413
i01_06_3.bmp,I01.BMP,96.27027,1.2213448286056519
i01_06_4.bmp,I01.BMP,96.51429,1.2550194263458252
i01_06_5.bmp,I01.BMP,97.05556,1.2847862243652344
i01_07_1.bmp,I01.BMP,94.91667,1.186987280845642
i01_07_2.bmp,I01.BMP,95.25,1.2107411623001099
i01_07_3.bmp,I01.BMP,96.0,1.241115927696228
i01_07_4.bmp,I01.BMP,96.77778,1.2535182237625122
i01_07_5.bmp,I01.BMP,97.80556,1.2885695695877075
i01_08_1.bmp,I01.BMP,94.81081,1.0909414291381836
i01_08_2.bmp,I01.BMP,95.52778,1.0675252676010132
i01_08_3.bmp,I01.BMP,96.51351,1.1831707954406738
i01_08_4.bmp,I01.BMP,97.0,1.249140977859497
i01_08_5.bmp,I01.BMP,97.88889,1.3275831937789917
i01_09_1.bmp,I01.BMP,93.91667,1.1880693435668945
i01_09_2.bmp,I01.BMP,94.83333,1.227418303489685
i01_09_3.bmp,I01.BMP,95.57143,1.270159125328064
i01_09_4.bmp,I01.BMP,97.18919,1.3162246942520142
i01_09_5.bmp,I01.BMP,98.45946,1.3512769937515259
i01_10_1.bmp,I01.BMP,94.02703,1.1649640798568726
i01_10_2.bmp,I01.BMP,94.05405,1.215428113937378
i01_10_3.bmp,I01.BMP,95.08333,1.2713258266448975
i01_10_4.bmp,I01.BMP,96.78378000000001,1.3152475357055664
i01_10_5.bmp,I01.BMP,97.91892,1.3434447050094604
I01_11_1.BMP,I01.BMP,94.08571,1.164178729057312
i01_11_2.bmp,I01.BMP,94.32432,1.2156659364700317
i01_11_3.bmp,I01.BMP,95.30556,1.2516703605651855
i01_11_4.bmp,I01.BMP,96.32432,1.318129062652588
i01_11_5.bmp,I01.BMP,98.54054,1.3625015020370483
i01_12_1.bmp,I01.BMP,94.05405,1.1301851272583008
i01_12_2.bmp,I01.BMP,94.13514,1.1436296701431274
i01_12_3.bmp,I01.BMP,95.78378000000001,1.2169535160064697
i01_12_4.bmp,I01.BMP,96.16667,1.2639778852462769
i01_12_5.bmp,I01.BMP,96.56757,1.3050633668899536
I01_13_1.BMP,I01.BMP,94.54054,1.0955584049224854
i01_13_2.bmp,I01.BMP,96.08571,1.220805287361145
i01_13_3.bmp,I01.BMP,96.72222,1.2779598236083984
i01_13_4.bmp,I01.BMP,96.83333,1.2887457609176636
i01_13_5.bmp,I01.BMP,96.89189,1.289109468460083
i01_14_1.bmp,I01.BMP,94.30556,1.1187843084335327
i01_14_2.bmp,I01.BMP,93.94595,1.0554277896881104
i01_14_3.bmp,I01.BMP,94.24324,1.1623318195343018
i01_14_4.bmp,I01.BMP,94.44444,1.1826459169387817
i01_14_5.bmp,I01.BMP,95.52941,1.2310606241226196
i01_15_1.bmp,I01.BMP,97.16667,1.1656229496002197
i01_15_2.bmp,I01.BMP,97.17143,1.15348482131958
i01_15_3.bmp,I01.BMP,96.89189,1.1364853382110596
i01_15_4.bmp,I01.BMP,96.41667,1.086349368095398
i01_15_5.bmp,I01.BMP,96.10811,1.0727455615997314
i01_16_1.bmp,I01.BMP,94.19444,0.9143530130386353
i01_16_2.bmp,I01.BMP,93.94595,1.021890640258789
i01_16_3.bmp,I01.BMP,95.11111,1.105478286743164
i01_16_4.bmp,I01.BMP,94.97222,1.017211675643921
i01_16_5.bmp,I01.BMP,95.80556,1.0916613340377808
i01_17_1.bmp,I01.BMP,94.64865,1.0848153829574585
i01_17_2.bmp,I01.BMP,93.37837999999999,0.9440155029296875
i01_17_3.bmp,I01.BMP,95.91892,0.9893094897270203
i01_17_4.bmp,I01.BMP,93.75676,1.025610327720642
i01_17_5.bmp,I01.BMP,97.02857,1.0065590143203735
i01_18_1.bmp,I01.BMP,95.37837999999999,1.017906665802002
i01_18_2.bmp,I01.BMP,95.77778,1.0195834636688232
i01_18_3.bmp,I01.BMP,96.22857,1.1386839151382446
i01_18_4.bmp,I01.BMP,96.52778,1.2196215391159058
i01_18_5.bmp,I01.BMP,96.58333,1.2317490577697754
i01_19_1.bmp,I01.BMP,94.05556,1.1718451976776123
i01_19_2.bmp,I01.BMP,94.52778,1.2059675455093384
i01_19_3.bmp,I01.BMP,94.91892,1.2348370552062988
i01_19_4.bmp,I01.BMP,95.47222,1.258587121963501
i01_19_5.bmp,I01.BMP,96.05556,1.2840664386749268
i01_20_1.bmp,I01.BMP,94.14286,1.10028076171875
i01_20_2.bmp,I01.BMP,94.16667,1.1554820537567139
i01_20_3.bmp,I01.BMP,93.97222,1.213030219078064
i01_20_4.bmp,I01.BMP,94.91667,1.2671284675598145
i01_20_5.bmp,I01.BMP,95.66667,1.3117918968200684
i01_21_1.bmp,I01.BMP,94.2973,1.1868823766708374
i01_21_2.bmp,I01.BMP,94.72222,1.2309517860412598
i01_21_3.bmp,I01.BMP,95.32432,1.2715468406677246
i01_21_4.bmp,I01.BMP,95.94286,1.3078564405441284
i01_21_5.bmp,I01.BMP,96.94595,1.338562250137329
i01_22_1.bmp,I01.BMP,94.44444,1.1914552450180054
i01_22_2.bmp,I01.BMP,94.81081,1.2333836555480957
i01_22_3.bmp,I01.BMP,95.69444,1.2577285766601562
i01_22_4.bmp,I01.BMP,96.83784,1.2897286415100098
i01_22_5.bmp,I01.BMP,97.80556,1.3284635543823242
i01_23_1.bmp,I01.BMP,93.71429,1.1247808933258057
i01_23_2.bmp,I01.BMP,94.38889,1.1696768999099731
i01_23_3.bmp,I01.BMP,94.22222,1.1898391246795654
i01_23_4.bmp,I01.BMP,95.19444,1.2295732498168945
i01_23_5.bmp,I01.BMP,97.59459,1.3128098249435425
i01_24_1.bmp,I01.BMP,94.2973,1.2006880044937134
i01_24_2.bmp,I01.BMP,94.41667,1.239184021949768
i01_24_3.bmp,I01.BMP,94.89189,1.2850590944290161
i01_24_4.bmp,I01.BMP,96.91892,1.3306167125701904
i01_24_5.bmp,I01.BMP,99.54054,1.3623753786087036
I02_01_1.bmp,I02.BMP,94.25713999999999,1.2123340368270874
i02_01_2.bmp,I02.BMP,94.65714,1.2485437393188477
i02_01_3.bmp,I02.BMP,94.77778,1.2698527574539185
i02_01_4.bmp,I02.BMP,95.80556,1.299339771270752
i02_01_5.bmp,I02.BMP,96.02703,1.3133528232574463
i02_02_1.bmp,I02.BMP,93.94444,1.167849063873291
i02_02_2.bmp,I02.BMP,93.94595,1.205452799797058
i02_02_3.bmp,I02.BMP,94.11111,1.2318737506866455
i02_02_4.bmp,I02.BMP,94.7027,1.2622430324554443
i02_02_5.bmp,I02.BMP,95.61111,1.285785436630249
i02_03_1.bmp,I02.BMP,95.2,1.263276219367981
i02_03_2.bmp,I02.BMP,95.56757,1.2870534658432007
i02_03_3.bmp,I02.BMP,96.16216,1.3122628927230835
i02_03_4.bmp,I02.BMP,96.47222,1.3317813873291016
i02_03_5.bmp,I02.BMP,97.08108,1.3475955724716187
i02_04_1.bmp,I02.BMP,93.71429,1.0724492073059082
i02_04_2.bmp,I02.BMP,93.83784,1.1411231756210327
i02_04_3.bmp,I02.BMP,94.80556,1.1788240671157837
i02_04_4.bmp,I02.BMP,95.25713999999999,1.2218186855316162
i02_04_5.bmp,I02.BMP,95.71429,1.2386504411697388
i02_05_1.bmp,I02.BMP,93.88235,1.1830761432647705
i02_05_2.bmp,I02.BMP,93.88889,1.217633843421936
i02_05_3.bmp,I02.BMP,94.56757,1.2598968744277954
i02_05_4.bmp,I02.BMP,95.62162000000001,1.2995895147323608
i02_05_5.bmp,I02.BMP,96.58333,1.331099033355713
i02_06_1.bmp,I02.BMP,95.44444,1.1653958559036255
i02_06_2.bmp,I02.BMP,95.72222,1.2063575983047485
i02_06_3.bmp,I02.BMP,96.27027,1.2483851909637451
i02_06_4.bmp,I02.BMP,96.51429,1.2869231700897217
i02_06_5.bmp,I02.BMP,96.89189,1.3172833919525146
i02_07_1.bmp,I02.BMP,94.08571,1.2172080278396606
i02_07_2.bmp,I02.BMP,94.41667,1.249444842338562
i02_07_3.bmp,I02.BMP,96.23529,1.2667372226715088
i02_07_4.bmp,I02.BMP,96.24324,1.2680535316467285
i02_07_5.bmp,I02.BMP,97.14286,1.2896195650100708
i02_08_1.bmp,I02.BMP,93.89189,0.9470314383506775
i02_08_2.bmp,I02.BMP,94.83333,1.0358312129974365
i02_08_3.bmp,I02.BMP,95.45714,1.1623425483703613
i02_08_4.bmp,I02.BMP,96.16216,1.2481411695480347
i02_08_5.bmp,I02.BMP,96.97297,1.322562575340271
i02_09_1.bmp,I02.BMP,94.0,1.2394044399261475
i02_09_2.bmp,I02.BMP,94.48571,1.2543683052062988
i02_09_3.bmp,I02.BMP,95.47222,1.2974269390106201
i02_09_4.bmp,I02.BMP,96.35135,1.3287878036499023
i02_09_5.bmp,I02.BMP,97.58333,1.3571224212646484
i02_10_1.bmp,I02.BMP,94.0,1.2041122913360596
i02_10_2.bmp,I02.BMP,94.02778,1.2469829320907593
i02_10_3.bmp,I02.BMP,94.56757,1.297675609588623
i02_10_4.bmp,I02.BMP,96.5,1.3405262231826782
i02_10_5.bmp,I02.BMP,97.28571,1.3543899059295654
I02_11_1.BMP,I02.BMP,94.08333,1.2474628686904907
i02_11_2.bmp,I02.BMP,95.19444,1.309450626373291
i02_11_3.bmp,I02.BMP,97.02703,1.349467396736145
i02_11_4.bmp,I02.BMP,98.08108,1.3669582605361938
i02_11_5.bmp,I02.BMP,98.72222,1.371909737586975
i02_12_1.bmp,I02.BMP,94.69444,1.1721982955932617
i02_12_2.bmp,I02.BMP,95.56757,1.2536910772323608
i02_12_3.bmp,I02.BMP,96.91892,1.2998040914535522
i02_12_4.bmp,I02.BMP,97.32432,1.3453729152679443
i02_12_5.bmp,I02.BMP,97.62857,1.3594375848770142
I02_13_1.BMP,I02.BMP,95.52778,1.2653976678848267
i02_13_2.bmp,I02.BMP,96.0,1.2733912467956543
i02_13_3.bmp,I02.BMP,96.61111,1.3036918640136719
i02_13_4.bmp,I02.BMP,97.10811,1.3417121171951294
i02_13_5.bmp,I02.BMP,96.38889,1.304951786994934
i02_14_1.bmp,I02.BMP,94.25,1.1804687976837158
i02_14_2.bmp,I02.BMP,93.91892,1.093100666999817
i02_14_3.bmp,I02.BMP,94.88571,1.1289304494857788
